REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP
S25B29/006,A12051,Bachelor of Nursing Science (Diploma Entry),Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
S25B29/008,A12068,Bachelor of Nursing Science (Diploma Entry),Mbale Secondary School,Mbale,Tier 2,Public/Mixed
S25B29/010,A12092,Bachelor of Nursing Science (Diploma Entry),Gayaza High School,Kampala,Tier 1,Private/Faith-based
S25B29/012,A12102,Bachelor of Nursing Science (Diploma Entry),St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
S25B29/014,A12144,Bachelor of Nursing Science (Diploma Entry),Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
J23B28/003,A12160,Bachelor of Nursing Science (For A' level Applicants),Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
J23B28/006,A12181,Bachelor of Nursing Science (For A' level Applicants),Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
J23B28/009,A12202,Bachelor of Nursing Science (For A' level Applicants),Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J23B28/011,A12210,Bachelor of Nursing Science (For A' level Applicants),King's College Budo,Kampala,Tier 1,Private/Faith-based
J23B28/014,A12222,Bachelor of Nursing Science (For A' level Applicants),St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
J23B28/017,A12265,Bachelor of Nursing Science (For A' level Applicants),Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
J23B28/019,A12284,Bachelor of Nursing Science (For A' level Applicants),Nebbi Secondary School,Nebbi,Tier 2,Public/Mixed
J24B28/001,A12157,Bachelor of Nursing Science (For A' level Applicants),Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
J24B28/006,A12208,Bachelor of Nursing Science (For A' level Applicants),Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J24B28/008,A12224,Bachelor of Nursing Science (For A' level Applicants),Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
J24B28/010,A12234,Bachelor of Nursing Science (For A' level Applicants),Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J24B28/012,A12253,Bachelor of Nursing Science (For A' level Applicants),Soroti Secondary School,Soroti,Tier 2,Public/Mixed
J24B28/014,A12277,Bachelor of Nursing Science (For A' level Applicants),Lira Town College,Lira,Tier 2,Private/Faith-based
J25B28/001,A12146,Bachelor of Nursing Science (For A' level Applicants),Jinja Secondary School,Jinja,Tier 2,Public/Mixed
J25B28/003,A12154,Bachelor of Nursing Science (For A' level Applicants),St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
J25B28/007,A12183,Bachelor of Nursing Science (For A' level Applicants),Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
J25B28/009,A12196,Bachelor of Nursing Science (For A' level Applicants),Masaka Secondary School,Masaka,Tier 2,Public/Mixed
J25B28/011,A12213,Bachelor of Nursing Science (For A' level Applicants),Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed
J25B28/013,A12225,Bachelor of Nursing Science (For A' level Applicants),St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J25B28/015,A12242,Bachelor of Nursing Science (For A' level Applicants),Gayaza High School,Kampala,Tier 1,Private/Faith-based
J25B28/018,A12258,Bachelor of Nursing Science (For A' level Applicants),Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed
KJ23B28/004,A12161,Bachelor of Nursing Science (For A' level Applicants),St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
KJ23B28/012,A12211,Bachelor of Nursing Science (For A' level Applicants),Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
KJ24B28/002,A12162,Bachelor of Nursing Science (For A' level Applicants),Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KJ24B28/005,A12194,Bachelor of Nursing Science (For A' level Applicants),Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KJ25B28/004,A12163,Bachelor of Nursing Science (For A' level Applicants),Kibale Secondary School,Kibale,Tier 2,Public/Mixed
KJ25B28/017,A12252,Bachelor of Nursing Science (For A' level Applicants),Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
KM23B28/007,A12217,Bachelor of Nursing Science (For A' level Applicants),Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
KM24B28/004,A12200,Bachelor of Nursing Science (For A' level Applicants),Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
KM24B28/006,A12230,Bachelor of Nursing Science (For A' level Applicants),Seeta High School,Kampala,Tier 2,Private/Faith-based
KM25B28/003,A12170,Bachelor of Nursing Science (For A' level Applicants),St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
KM25B28/018,A12254,Bachelor of Nursing Science (For A' level Applicants),Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
KS23B28/001,A12147,Bachelor of Nursing Science (For A' level Applicants),Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
KS23B28/011,A12235,Bachelor of Nursing Science (For A' level Applicants),Mbarara High School,Mbarara,Tier 1,Private/Faith-based
KS23B28/016,A12281,Bachelor of Nursing Science (For A' level Applicants),St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
KS24B28/002,A12182,Bachelor of Nursing Science (For A' level Applicants),Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
KS25B28/001,A12152,Bachelor of Nursing Science (For A' level Applicants),Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
KS25B28/003,A12165,Bachelor of Nursing Science (For A' level Applicants),Gayaza High School,Kampala,Tier 1,Private/Faith-based
KS25B28/010,A12260,Bachelor of Nursing Science (For A' level Applicants),Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
M23B28/001,A12166,Bachelor of Nursing Science (For A' level Applicants),Namasagali College,Kamuli,Tier 1,Private/Faith-based
M23B28/003,A12175,Bachelor of Nursing Science (For A' level Applicants),Mbarara High School,Mbarara,Tier 1,Private/Faith-based
M23B28/005,A12199,Bachelor of Nursing Science (For A' level Applicants),Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M23B28/009,A12247,Bachelor of Nursing Science (For A' level Applicants),Gulu High School,Gulu,Tier 2,Private/Faith-based
M23B28/011,A12279,Bachelor of Nursing Science (For A' level Applicants),St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
M24B28/001,A12148,Bachelor of Nursing Science (For A' level Applicants),Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
M24B28/003,A12177,Bachelor of Nursing Science (For A' level Applicants),St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
M24B28/008,A12243,Bachelor of Nursing Science (For A' level Applicants),Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
M24B28/010,A12266,Bachelor of Nursing Science (For A' level Applicants),Nabumali High School,Mbale,Tier 1,Private/Faith-based
M24B28/012,A12270,Bachelor of Nursing Science (For A' level Applicants),Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
M25B28/002,A12168,Bachelor of Nursing Science (For A' level Applicants),Makerere College School,Kampala,Tier 2,Private/Faith-based
M25B28/005,A12184,Bachelor of Nursing Science (For A' level Applicants),St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
M25B28/008,A12218,Bachelor of Nursing Science (For A' level Applicants),Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
M25B28/010,A12226,Bachelor of Nursing Science (For A' level Applicants),St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
M25B28/012,A12236,Bachelor of Nursing Science (For A' level Applicants),Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M25B28/014,A12246,Bachelor of Nursing Science (For A' level Applicants),Muni Girls School,Arua,Tier 2,Private/Faith-based
M25B28/016,A12249,Bachelor of Nursing Science (For A' level Applicants),Soroti Secondary School,Soroti,Tier 2,Public/Mixed
M25B28/019,A12255,Bachelor of Nursing Science (For A' level Applicants),St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M25B28/021,A12264,Bachelor of Nursing Science (For A' level Applicants),St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M25B28/023,A12285,Bachelor of Nursing Science (For A' level Applicants),Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
S23B28/003,A12156,Bachelor of Nursing Science (For A' level Applicants),Namasagali College,Kamuli,Tier 1,Private/Faith-based
S23B28/006,A12187,Bachelor of Nursing Science (For A' level Applicants),St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
S23B28/008,A12209,Bachelor of Nursing Science (For A' level Applicants),St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B28/010,A12227,Bachelor of Nursing Science (For A' level Applicants),St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B28/013,A12259,Bachelor of Nursing Science (For A' level Applicants),Hoima Secondary School,Hoima,Tier 2,Public/Mixed
S24B28/001,A12155,Bachelor of Nursing Science (For A' level Applicants),Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
S24B28/004,A12195,Bachelor of Nursing Science (For A' level Applicants),Nabumali High School,Mbale,Tier 1,Private/Faith-based
S24B28/006,A12219,Bachelor of Nursing Science (For A' level Applicants),Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed
S24B28/008,A12237,Bachelor of Nursing Science (For A' level Applicants),Gulu High School,Gulu,Tier 2,Private/Faith-based
S24B28/011,A12288,Bachelor of Nursing Science (For A' level Applicants),Makerere College School,Kampala,Tier 2,Private/Faith-based
S25B28/005,A12172,Bachelor of Nursing Science (For A' level Applicants),Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
S25B28/007,A12185,Bachelor of Nursing Science (For A' level Applicants),Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
S25B28/011,A12261,Bachelor of Nursing Science (For A' level Applicants),Lira Town College,Lira,Tier 2,Private/Faith-based
J23B27/005,A12351,Bachelor of Public Health,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
J23B27/007,A12363,Bachelor of Public Health,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed
J23B27/009,A12376,Bachelor of Public Health,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
J23B27/011,A12402,Bachelor of Public Health,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
J23B27/013,A12418,Bachelor of Public Health,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
J24B27/001,A12293,Bachelor of Public Health,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed
J24B27/003,A12299,Bachelor of Public Health,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based
J24B27/005,A12314,Bachelor of Public Health,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
J24B27/007,A12327,Bachelor of Public Health,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
J24B27/009,A12336,Bachelor of Public Health,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
J24B27/011,A12360,Bachelor of Public Health,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
J24B27/014,A12384,Bachelor of Public Health,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
J24B27/017,A12405,Bachelor of Public Health,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
J24B27/019,A12422,Bachelor of Public Health,Lira Town College,Lira,Tier 2,Private/Faith-based
J25B27/002,A12303,Bachelor of Public Health,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
J25B27/004,A12335,Bachelor of Public Health,Lira Town College,Lira,Tier 2,Private/Faith-based
J25B27/006,A12366,Bachelor of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25B27/008,A12395,Bachelor of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25B27/010,A12400,Bachelor of Public Health,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
J25B27/013,A12424,Bachelor of Public Health,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
KJ23B27/003,A12329,Bachelor of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
KJ24B27/012,A12371,Bachelor of Public Health,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
KJ25B27/011,A12406,Bachelor of Public Health,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
KM25B27/007,A12388,Bachelor of Public Health,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KS24B27/004,A12317,Bachelor of Public Health,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed
KS24B27/022,A12427,Bachelor of Public Health,Kotido Secondary School,Kotido,Tier 2,Public/Mixed
M23B27/001,A12295,Bachelor of Public Health,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
M23B27/003,A12311,Bachelor of Public Health,Moroto High School,Moroto,Tier 2,Private/Faith-based
M23B27/005,A12322,Bachelor of Public Health,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M23B27/007,A12358,Bachelor of Public Health,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
M23B27/009,A12365,Bachelor of Public Health,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M23B27/011,A12392,Bachelor of Public Health,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M23B27/013,A12432,Bachelor of Public Health,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
M24B27/002,A12296,Bachelor of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M24B27/004,A12313,Bachelor of Public Health,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M24B27/006,A12321,Bachelor of Public Health,Iganga Secondary School,Iganga,Tier 2,Public/Mixed
M24B27/008,A12330,Bachelor of Public Health,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
M24B27/010,A12344,Bachelor of Public Health,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
M24B27/012,A12380,Bachelor of Public Health,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
M24B27/014,A12397,Bachelor of Public Health,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
M24B27/016,A12426,Bachelor of Public Health,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
M25B27/002,A12326,Bachelor of Public Health,Makerere College School,Kampala,Tier 2,Private/Faith-based
M25B27/004,A12340,Bachelor of Public Health,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
M25B27/006,A12361,Bachelor of Public Health,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M25B27/009,A12394,Bachelor of Public Health,Gomba Secondary School,Gomba,Tier 2,Public/Mixed
M25B27/011,A12411,Bachelor of Public Health,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
M25B27/013,A12419,Bachelor of Public Health,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
M25B27/015,A12433,Bachelor of Public Health,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
S23B27/002,A12318,Bachelor of Public Health,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
S23B27/004,A12328,Bachelor of Public Health,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S23B27/006,A12347,Bachelor of Public Health,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed
S23B27/008,A12354,Bachelor of Public Health,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
S23B27/010,A12370,Bachelor of Public Health,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S23B27/012,A12379,Bachelor of Public Health,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
S23B27/014,A12385,Bachelor of Public Health,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
S23B27/016,A12408,Bachelor of Public Health,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S24B27/001,A12292,Bachelor of Public Health,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
S24B27/005,A12323,Bachelor of Public Health,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
S24B27/007,A12342,Bachelor of Public Health,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
S24B27/009,A12350,Bachelor of Public Health,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
S24B27/011,A12357,Bachelor of Public Health,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
S24B27/014,A12374,Bachelor of Public Health,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
S24B27/016,A12381,Bachelor of Public Health,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
S24B27/018,A12407,Bachelor of Public Health,Moroto High School,Moroto,Tier 2,Private/Faith-based
S24B27/020,A12412,Bachelor of Public Health,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
S24B27/023,A12428,Bachelor of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B27/025,A12435,Bachelor of Public Health,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
S25B27/002,A12309,Bachelor of Public Health,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
S25B27/004,A12337,Bachelor of Public Health,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
S25B27/006,A12355,Bachelor of Public Health,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
S25B27/008,A12368,Bachelor of Public Health,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S25B27/010,A12413,Bachelor of Public Health,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
J24M25/003,A12452,Master of Nursing Science,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
J24M25/007,A12462,Master of Nursing Science,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J24M25/010,A12474,Master of Nursing Science,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
J25M25/001,A12455,Master of Nursing Science,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
J25M25/003,A12469,Master of Nursing Science,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
J25M25/005,A12487,Master of Nursing Science,Busoga High School,Iganga,Tier 2,Private/Faith-based
KJ24M25/002,A12443,Master of Nursing Science,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KJ24M25/006,A12460,Master of Nursing Science,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
KM24M25/007,A12467,Master of Nursing Science,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
KS24M25/003,A12453,Master of Nursing Science,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M24M25/001,A12437,Master of Nursing Science,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M24M25/003,A12442,Master of Nursing Science,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
M24M25/005,A12451,Master of Nursing Science,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M24M25/008,A12468,Master of Nursing Science,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
M24M25/010,A12476,Master of Nursing Science,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed
M24M25/012,A12482,Master of Nursing Science,Makerere College School,Kampala,Tier 2,Private/Faith-based
M25M25/002,A12444,Master of Nursing Science,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M25M25/004,A12449,Master of Nursing Science,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M25M25/006,A12475,Master of Nursing Science,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M25M25/009,A12480,Master of Nursing Science,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
M25M25/011,A12490,Master of Nursing Science,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S24M25/002,A12448,Master of Nursing Science,Ntare School,Kampala,Tier 1,Public/Mixed
S24M25/005,A12461,Master of Nursing Science,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
S24M25/007,A12472,Master of Nursing Science,Ntare School,Kampala,Tier 1,Public/Mixed
S24M25/009,A12484,Master of Nursing Science,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S25M25/001,A12440,Master of Nursing Science,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
S25M25/004,A12456,Master of Nursing Science,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
S25M25/006,A12486,Master of Nursing Science,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J24M26/001,A12492,Master of Public Health,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
J24M26/003,A12499,Master of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J24M26/005,A12502,Master of Public Health,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
J24M26/009,A12512,Master of Public Health,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
J24M26/012,A12535,Master of Public Health,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J25M26/002,A12508,Master of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25M26/004,A12543,Master of Public Health,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
KJ24M26/007,A12505,Master of Public Health,Kibale Secondary School,Kibale,Tier 2,Public/Mixed
KM24M26/006,A12527,Master of Public Health,Namasagali College,Kamuli,Tier 1,Private/Faith-based
KM24M26/008,A12532,Master of Public Health,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KS24M26/001,A12497,Master of Public Health,Seeta High School,Kampala,Tier 2,Private/Faith-based
M24M26/002,A12496,Master of Public Health,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
M24M26/004,A12517,Master of Public Health,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
M24M26/009,A12539,Master of Public Health,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
M24M26/011,A12541,Master of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M25M26/002,A12513,Master of Public Health,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M25M26/004,A12524,Master of Public Health,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M25M26/006,A12533,Master of Public Health,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
S24M26/002,A12498,Master of Public Health,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
S24M26/004,A12522,Master of Public Health,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24M26/006,A12542,Master of Public Health,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
S25M26/002,A12501,Master of Public Health,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25M26/004,A12507,Master of Public Health,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
S25M26/006,A12516,Master of Public Health,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
S25M26/008,A12521,Master of Public Health,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
S25M26/010,A12529,Master of Public Health,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
S25M26/012,A12534,Master of Public Health,Lira Town College,Lira,Tier 2,Private/Faith-based
S25M26/014,A12537,Master of Public Health,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J24M24/002,A12551,Master of Public Health Leadership,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J24M24/004,A12563,Master of Public Health Leadership,Kasese Secondary School,Kasese,Tier 2,Public/Mixed
J24M24/007,A12573,Master of Public Health Leadership,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
J24M24/009,A12594,Master of Public Health Leadership,Nabumali High School,Mbale,Tier 1,Private/Faith-based
J25M24/003,A12564,Master of Public Health Leadership,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
J25M24/005,A12574,Master of Public Health Leadership,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
KJ24M24/001,A12547,Master of Public Health Leadership,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
KJ25M24/002,A12559,Master of Public Health Leadership,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
KM24M24/003,A12576,Master of Public Health Leadership,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
KM25M24/002,A12560,Master of Public Health Leadership,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
KM25M24/011,A12600,Master of Public Health Leadership,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
KS24M24/011,A12595,Master of Public Health Leadership,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M24M24/001,A12554,Master of Public Health Leadership,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M24M24/004,A12578,Master of Public Health Leadership,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M24M24/007,A12597,Master of Public Health Leadership,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed
M25M24/001,A12549,Master of Public Health Leadership,Namasagali College,Kamuli,Tier 1,Private/Faith-based
M25M24/004,A12575,Master of Public Health Leadership,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
M25M24/007,A12584,Master of Public Health Leadership,Ngora High School,Soroti,Tier 2,Private/Faith-based
M25M24/009,A12588,Master of Public Health Leadership,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
S24M24/002,A12550,Master of Public Health Leadership,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
S24M24/004,A12556,Master of Public Health Leadership,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
S24M24/006,A12566,Master of Public Health Leadership,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
S24M24/008,A12577,Master of Public Health Leadership,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
S24M24/010,A12589,Master of Public Health Leadership,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S25M24/001,A12548,Master of Public Health Leadership,Gayaza High School,Kampala,Tier 1,Private/Faith-based
S25M24/004,A12568,Master of Public Health Leadership,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
S25M24/006,A12583,Master of Public Health Leadership,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S25M24/008,A12592,Master of Public Health Leadership,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
J23B85/003,A12633,Bachelor of Science in Accounting and Finance,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
J23B85/005,A12648,Bachelor of Science in Accounting and Finance,Seeta High School,Kampala,Tier 2,Private/Faith-based
J23B85/008,A12657,Bachelor of Science in Accounting and Finance,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J23B85/010,A12665,Bachelor of Science in Accounting and Finance,Namasagali College,Kamuli,Tier 1,Private/Faith-based
J23B85/012,A12677,Bachelor of Science in Accounting and Finance,Kotido Secondary School,Kotido,Tier 2,Public/Mixed
J23B85/014,A12681,Bachelor of Science in Accounting and Finance,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
J23B85/016,A12692,Bachelor of Science in Accounting and Finance,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
J23B85/018,A12704,Bachelor of Science in Accounting and Finance,Gayaza High School,Kampala,Tier 1,Private/Faith-based
J23B85/020,A12712,Bachelor of Science in Accounting and Finance,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
J23B85/022,A12750,Bachelor of Science in Accounting and Finance,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
J23B85/025,A12761,Bachelor of Science in Accounting and Finance,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
