FACULTY,DEPARTMENT,PROGRAM,PROGRAM ID,SEMESTER_INDEX,COURSE_CODE,COURSE_TITLE,COURSE_UNITS,COURSE_TYPE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,3,BOS0301,Cloud Computing,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,3,BOS0302,Mobile Application Development,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,3,BOS0303,Human Computer Interaction,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,3,BOS0304,Data Mining,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,3,BOS0305,Big Data Analytics,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,3,BOS0306,Information Systems Audit,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,3,BOS0307,Research Methods in Computing,2,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,4,BOS0401,Project Management in IT,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,4,BOS0402,Computer Ethics and Society,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,4,BOS0403,Internship and Field Attachment,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,4,BOS0404,Final Year Project,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,4,BOS0405,Introduction to Programming 2,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,4,BOS0406,Computer Architecture 2,2,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,5,BOS0501,Data Structures and Algorithms 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,5,BOS0502,Database Systems 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,5,BOS0503,Operating Systems 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,5,BOS0504,Computer Networks 2,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,5,BOS0505,Web Application Development 2,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,5,BOS0506,Object-Oriented Programming 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,5,BOS0507,Software Engineering 2,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,6,BOS0601,Systems Analysis and Design 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,6,BOS0602,Artificial Intelligence 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,6,BOS0603,Machine Learning Fundamentals 2,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,6,BOS0604,Cybersecurity Principles 2,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,6,BOS0605,Cloud Computing 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,6,BOS0606,Mobile Application Development 2,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,7,BOS0701,Human Computer Interaction 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,7,BOS0702,Data Mining 2,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,7,BOS0703,Big Data Analytics 2,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,7,BOS0704,Information Systems Audit 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,7,BOS0705,Research Methods in Computing 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,7,BOS0706,Project Management in IT 2,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,7,BOS0707,Computer Ethics and Society 2,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,8,BOS0801,Internship and Field Attachment 2,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,8,BOS0802,Final Year Project 2,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,8,BOS0803,Introduction to Programming 3,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,8,BOS0804,Computer Architecture 3,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,8,BOS0805,Data Structures and Algorithms 3,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Bachelor of Science in Information Technology,46,8,BOS0806,Database Systems 3,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,1,DII0101,Introduction to Programming,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,1,DII0102,Computer Architecture,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,1,DII0103,Data Structures and Algorithms,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,1,DII0104,Database Systems,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,1,DII0105,Operating Systems,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,1,DII0106,Computer Networks,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,2,DII0201,Web Application Development,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,2,DII0202,Object-Oriented Programming,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,2,DII0203,Software Engineering,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,2,DII0204,Systems Analysis and Design,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,2,DII0205,Artificial Intelligence,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,2,DII0206,Machine Learning Fundamentals,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,2,DII0207,Cybersecurity Principles,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,3,DII0301,Cloud Computing,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,3,DII0302,Mobile Application Development,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,3,DII0303,Human Computer Interaction,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,3,DII0304,Data Mining,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,3,DII0305,Big Data Analytics,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,3,DII0306,Information Systems Audit,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,4,DII0401,Research Methods in Computing,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,4,DII0402,Project Management in IT,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,4,DII0403,Computer Ethics and Society,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,4,DII0404,Internship and Field Attachment,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,4,DII0405,Final Year Project,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,4,DII0406,Introduction to Programming 2,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Diploma in Information Technology,47,4,DII0407,Computer Architecture 2,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,1,MOI0101,Introduction to Programming,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,1,MOI0102,Computer Architecture,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,1,MOI0103,Data Structures and Algorithms,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,1,MOI0104,Database Systems,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,1,MOI0105,Operating Systems,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,1,MOI0106,Computer Networks,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,2,MOI0201,Web Application Development,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,2,MOI0202,Object-Oriented Programming,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,2,MOI0203,Software Engineering,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,2,MOI0204,Systems Analysis and Design,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,2,MOI0205,Artificial Intelligence,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,2,MOI0206,Machine Learning Fundamentals,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,2,MOI0207,Cybersecurity Principles,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,3,MOI0301,Cloud Computing,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,3,MOI0302,Mobile Application Development,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,3,MOI0303,Human Computer Interaction,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,3,MOI0304,Data Mining,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,3,MOI0305,Big Data Analytics,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,3,MOI0306,Information Systems Audit,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,4,MOI0401,Research Methods in Computing,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,4,MOI0402,Project Management in IT,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,4,MOI0403,Computer Ethics and Society,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,4,MOI0404,Internship and Field Attachment,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,4,MOI0405,Final Year Project,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,4,MOI0406,Introduction to Programming 2,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Information Technology,43,4,MOI0407,Computer Architecture 2,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,1,MOS0101,Introduction to Programming,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,1,MOS0102,Computer Architecture,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,1,MOS0103,Data Structures and Algorithms,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,1,MOS0104,Database Systems,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,1,MOS0105,Operating Systems,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,1,MOS0106,Computer Networks,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,2,MOS0201,Web Application Development,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,2,MOS0202,Object-Oriented Programming,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,2,MOS0203,Software Engineering,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,2,MOS0204,Systems Analysis and Design,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,2,MOS0205,Artificial Intelligence,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,2,MOS0206,Machine Learning Fundamentals,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,2,MOS0207,Cybersecurity Principles,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,3,MOS0301,Cloud Computing,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,3,MOS0302,Mobile Application Development,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,3,MOS0303,Human Computer Interaction,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,3,MOS0304,Data Mining,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,3,MOS0305,Big Data Analytics,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,3,MOS0306,Information Systems Audit,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,4,MOS0401,Research Methods in Computing,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,4,MOS0402,Project Management in IT,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,4,MOS0403,Computer Ethics and Society,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,4,MOS0404,Internship and Field Attachment,3,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,4,MOS0405,Final Year Project,4,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,4,MOS0406,Introduction to Programming 2,2,CORE
"Faculty of Engineering, Design & Technology",Computing,Master of Science in Computer Science,42,4,MOS0407,Computer Architecture 2,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,1,BOE0101,Introduction to Sociology,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,1,BOE0102,Social Work Practice,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,1,BOE0103,Community Development,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,1,BOE0104,Counselling Skills,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,1,BOE0105,Social Policy,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,1,BOE0106,Research Methods,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,2,BOE0201,Development Studies,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,2,BOE0202,Governance and Public Policy,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,2,BOE0203,International Relations Theory,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,2,BOE0204,Conflict Resolution,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,2,BOE0205,Public Administration,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,2,BOE0206,Gender Studies,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,2,BOE0207,Humanitarian Studies,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,3,BOE0301,Field Work,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,3,BOE0302,Project,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,3,BOE0303,Introduction to Sociology 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,3,BOE0304,Social Work Practice 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,3,BOE0305,Community Development 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,3,BOE0306,Counselling Skills 2,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,4,BOE0401,Social Policy 2,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,4,BOE0402,Research Methods 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,4,BOE0403,Development Studies 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,4,BOE0404,Governance and Public Policy 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,4,BOE0405,International Relations Theory 2,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,4,BOE0406,Conflict Resolution 2,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,4,BOE0407,Public Administration 2,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,5,BOE0501,Gender Studies 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,5,BOE0502,Humanitarian Studies 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,5,BOE0503,Field Work 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,5,BOE0504,Project 2,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,5,BOE0505,Introduction to Sociology 3,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,5,BOE0506,Social Work Practice 3,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,6,BOE0601,Community Development 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,6,BOE0602,Counselling Skills 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,6,BOE0603,Social Policy 3,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,6,BOE0604,Research Methods 3,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,6,BOE0605,Development Studies 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,6,BOE0606,Governance and Public Policy 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,6,BOE0607,International Relations Theory 3,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,7,BOE0701,Conflict Resolution 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,7,BOE0702,Public Administration 3,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,7,BOE0703,Gender Studies 3,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,7,BOE0704,Humanitarian Studies 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,7,BOE0705,Field Work 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,7,BOE0706,Project 3,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,8,BOE0801,Introduction to Sociology 4,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,8,BOE0802,Social Work Practice 4,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,8,BOE0803,Community Development 4,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,8,BOE0804,Counselling Skills 4,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,8,BOE0805,Social Policy 4,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,8,BOE0806,Research Methods 4,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Electronics and Communication Science,55,8,BOE0807,Development Studies 4,2,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,1,BOS0101,Engineering Mathematics,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,1,BOS0102,Engineering Drawing,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,1,BOS0103,Mechanics,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,1,BOS0104,Materials Science,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,1,BOS0105,Fluid Mechanics,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,1,BOS0106,Thermodynamics,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,2,BOS0201,Electrical Principles,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,2,BOS0202,Surveying,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,2,BOS0203,Water and Sanitation Systems,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,2,BOS0204,Environmental Engineering,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,2,BOS0205,Structural Analysis,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,2,BOS0206,Project Planning,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,2,BOS0207,GIS and Remote Sensing,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,3,BOS0301,Field Attachment,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,3,BOS0302,Design Project,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,3,BOS0303,Engineering Mathematics 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,3,BOS0304,Engineering Drawing 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,3,BOS0305,Mechanics 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,3,BOS0306,Materials Science 2,4,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,4,BOS0401,Fluid Mechanics 2,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,4,BOS0402,Thermodynamics 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,4,BOS0403,Electrical Principles 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,4,BOS0404,Surveying 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,4,BOS0405,Water and Sanitation Systems 2,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,4,BOS0406,Environmental Engineering 2,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,4,BOS0407,Structural Analysis 2,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,5,BOS0501,Project Planning 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,5,BOS0502,GIS and Remote Sensing 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,5,BOS0503,Field Attachment 2,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,5,BOS0504,Design Project 2,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,5,BOS0505,Engineering Mathematics 3,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,5,BOS0506,Engineering Drawing 3,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,6,BOS0601,Mechanics 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,6,BOS0602,Materials Science 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,6,BOS0603,Fluid Mechanics 3,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,6,BOS0604,Thermodynamics 3,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,6,BOS0605,Electrical Principles 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,6,BOS0606,Surveying 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,6,BOS0607,Water and Sanitation Systems 3,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,7,BOS0701,Environmental Engineering 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,7,BOS0702,Structural Analysis 3,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,7,BOS0703,Project Planning 3,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,7,BOS0704,GIS and Remote Sensing 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,7,BOS0705,Field Attachment 3,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,7,BOS0706,Design Project 3,3,ELECTIVE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,8,BOS0801,Engineering Mathematics 4,4,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,8,BOS0802,Engineering Drawing 4,2,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,8,BOS0803,Mechanics 4,3,CORE
"Faculty of Engineering, Design & Technology",Engineering,Bachelor of Science in Civil and Environmental Engineering,54,8,BOS0804,Materials Science 4,3,CORE
