REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP
M25B85/015,A12773,Bachelor of Science in Accounting and Finance,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M25B85/018,A12799,Bachelor of Science in Accounting and Finance,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
S23B85/001,A12615,Bachelor of Science in Accounting and Finance,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
S23B85/004,A12637,Bachelor of Science in Accounting and Finance,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
S23B85/007,A12672,Bachelor of Science in Accounting and Finance,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S23B85/010,A12682,Bachelor of Science in Accounting and Finance,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
S23B85/012,A12698,Bachelor of Science in Accounting and Finance,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
S23B85/014,A12701,Bachelor of Science in Accounting and Finance,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B85/016,A12717,Bachelor of Science in Accounting and Finance,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
S23B85/018,A12729,Bachelor of Science in Accounting and Finance,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
S23B85/020,A12740,Bachelor of Science in Accounting and Finance,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
S23B85/023,A12809,Bachelor of Science in Accounting and Finance,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
S24B85/002,A12616,Bachelor of Science in Accounting and Finance,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B85/004,A12624,Bachelor of Science in Accounting and Finance,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
S24B85/006,A12636,Bachelor of Science in Accounting and Finance,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
S24B85/008,A12656,Bachelor of Science in Accounting and Finance,Gayaza High School,Kampala,Tier 1,Private/Faith-based
S24B85/011,A12669,Bachelor of Science in Accounting and Finance,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based
S24B85/013,A12678,Bachelor of Science in Accounting and Finance,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
S24B85/017,A12721,Bachelor of Science in Accounting and Finance,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
S24B85/019,A12749,Bachelor of Science in Accounting and Finance,Nebbi Secondary School,Nebbi,Tier 2,Public/Mixed
S24B85/021,A12776,Bachelor of Science in Accounting and Finance,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
S24B85/023,A12815,Bachelor of Science in Accounting and Finance,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25B85/002,A12622,Bachelor of Science in Accounting and Finance,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
S25B85/004,A12627,Bachelor of Science in Accounting and Finance,Namasagali College,Kamuli,Tier 1,Private/Faith-based
S25B85/007,A12645,Bachelor of Science in Accounting and Finance,Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed
S25B85/009,A12651,Bachelor of Science in Accounting and Finance,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
S25B85/012,A12688,Bachelor of Science in Accounting and Finance,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
S25B85/014,A12703,Bachelor of Science in Accounting and Finance,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
S25B85/016,A12737,Bachelor of Science in Accounting and Finance,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
S25B85/018,A12754,Bachelor of Science in Accounting and Finance,Gomba Secondary School,Gomba,Tier 2,Public/Mixed
S25B85/020,A12770,Bachelor of Science in Accounting and Finance,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25B85/022,A12795,Bachelor of Science in Accounting and Finance,Nabumali High School,Mbale,Tier 1,Private/Faith-based
S25B85/025,A12807,Bachelor of Science in Accounting and Finance,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
J23B86/002,A12850,Bachelor of Science in Economics and Statistics,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
J23B86/005,A12874,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J23B86/008,A12903,Bachelor of Science in Economics and Statistics,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
J23B86/010,A12916,Bachelor of Science in Economics and Statistics,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
J23B86/012,A12951,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J23B86/014,A12964,Bachelor of Science in Economics and Statistics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J23B86/016,A12985,Bachelor of Science in Economics and Statistics,Gulu High School,Gulu,Tier 2,Private/Faith-based
J23B86/018,A13022,Bachelor of Science in Economics and Statistics,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed
J24B86/002,A12826,Bachelor of Science in Economics and Statistics,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
J24B86/004,A12835,Bachelor of Science in Economics and Statistics,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
J24B86/006,A12867,Bachelor of Science in Economics and Statistics,King's College Budo,Kampala,Tier 1,Private/Faith-based
J24B86/009,A12891,Bachelor of Science in Economics and Statistics,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
J24B86/011,A12915,Bachelor of Science in Economics and Statistics,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed
J24B86/014,A12931,Bachelor of Science in Economics and Statistics,Nabumali High School,Mbale,Tier 1,Private/Faith-based
J24B86/016,A12940,Bachelor of Science in Economics and Statistics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J24B86/018,A12959,Bachelor of Science in Economics and Statistics,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
J24B86/021,A12978,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J24B86/024,A13012,Bachelor of Science in Economics and Statistics,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
J25B86/001,A12840,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J25B86/003,A12853,Bachelor of Science in Economics and Statistics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25B86/006,A12880,Bachelor of Science in Economics and Statistics,Muni Girls School,Arua,Tier 2,Private/Faith-based
J25B86/008,A12890,Bachelor of Science in Economics and Statistics,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
J25B86/010,A12905,Bachelor of Science in Economics and Statistics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25B86/012,A12909,Bachelor of Science in Economics and Statistics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25B86/014,A12933,Bachelor of Science in Economics and Statistics,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed
J25B86/016,A12987,Bachelor of Science in Economics and Statistics,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
J25B86/018,A12999,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J25B86/020,A13004,Bachelor of Science in Economics and Statistics,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J25B86/022,A13018,Bachelor of Science in Economics and Statistics,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
KJ23B86/004,A12861,Bachelor of Science in Economics and Statistics,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
KJ23B86/019,A13025,Bachelor of Science in Economics and Statistics,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed
KJ24B86/013,A12925,Bachelor of Science in Economics and Statistics,Lira Town College,Lira,Tier 2,Private/Faith-based
KJ24B86/023,A13005,Bachelor of Science in Economics and Statistics,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KM23B86/005,A12844,Bachelor of Science in Economics and Statistics,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed
KM23B86/016,A12967,Bachelor of Science in Economics and Statistics,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
KM23B86/021,A13019,Bachelor of Science in Economics and Statistics,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed
KM24B86/014,A12911,Bachelor of Science in Economics and Statistics,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
KM25B86/004,A12834,Bachelor of Science in Economics and Statistics,Lira Town College,Lira,Tier 2,Private/Faith-based
KM25B86/011,A12901,Bachelor of Science in Economics and Statistics,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
KS24B86/001,A12828,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KS25B86/026,A12995,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M23B86/001,A12817,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M23B86/003,A12821,Bachelor of Science in Economics and Statistics,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
M23B86/006,A12847,Bachelor of Science in Economics and Statistics,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
M23B86/009,A12866,Bachelor of Science in Economics and Statistics,Nabumali High School,Mbale,Tier 1,Private/Faith-based
M23B86/011,A12886,Bachelor of Science in Economics and Statistics,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
M23B86/013,A12908,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M23B86/015,A12948,Bachelor of Science in Economics and Statistics,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
M23B86/019,A13001,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M23B86/022,A13023,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M24B86/002,A12833,Bachelor of Science in Economics and Statistics,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
M24B86/004,A12841,Bachelor of Science in Economics and Statistics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M24B86/006,A12852,Bachelor of Science in Economics and Statistics,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M24B86/008,A12863,Bachelor of Science in Economics and Statistics,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M24B86/011,A12889,Bachelor of Science in Economics and Statistics,Makerere College School,Kampala,Tier 2,Private/Faith-based
M24B86/013,A12906,Bachelor of Science in Economics and Statistics,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
M24B86/016,A12917,Bachelor of Science in Economics and Statistics,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
M24B86/018,A12963,Bachelor of Science in Economics and Statistics,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M24B86/020,A12981,Bachelor of Science in Economics and Statistics,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M24B86/022,A12984,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M24B86/024,A13011,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M25B86/001,A12820,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M25B86/005,A12859,Bachelor of Science in Economics and Statistics,Muni Girls School,Arua,Tier 2,Private/Faith-based
M25B86/007,A12878,Bachelor of Science in Economics and Statistics,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M25B86/010,A12898,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M25B86/014,A12927,Bachelor of Science in Economics and Statistics,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed
M25B86/016,A12932,Bachelor of Science in Economics and Statistics,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
M25B86/018,A12945,Bachelor of Science in Economics and Statistics,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
M25B86/020,A12965,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M25B86/022,A12988,Bachelor of Science in Economics and Statistics,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
M25B86/024,A12997,Bachelor of Science in Economics and Statistics,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
S23B86/001,A12822,Bachelor of Science in Economics and Statistics,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
S23B86/003,A12848,Bachelor of Science in Economics and Statistics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
S23B86/005,A12881,Bachelor of Science in Economics and Statistics,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
S23B86/007,A12887,Bachelor of Science in Economics and Statistics,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
S23B86/009,A12912,Bachelor of Science in Economics and Statistics,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S23B86/011,A12942,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B86/013,A12950,Bachelor of Science in Economics and Statistics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S23B86/015,A12955,Bachelor of Science in Economics and Statistics,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
S23B86/017,A12974,Bachelor of Science in Economics and Statistics,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
S23B86/019,A12980,Bachelor of Science in Economics and Statistics,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
S23B86/021,A12992,Bachelor of Science in Economics and Statistics,King's College Budo,Kampala,Tier 1,Private/Faith-based
S23B86/023,A13002,Bachelor of Science in Economics and Statistics,Lira Town College,Lira,Tier 2,Private/Faith-based
S23B86/025,A13028,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S24B86/003,A12843,Bachelor of Science in Economics and Statistics,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
S24B86/005,A12864,Bachelor of Science in Economics and Statistics,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based
S24B86/007,A12902,Bachelor of Science in Economics and Statistics,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
S24B86/009,A12921,Bachelor of Science in Economics and Statistics,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
S24B86/011,A12929,Bachelor of Science in Economics and Statistics,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
S24B86/013,A12949,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B86/015,A12969,Bachelor of Science in Economics and Statistics,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
S24B86/017,A13000,Bachelor of Science in Economics and Statistics,Ntare School,Kampala,Tier 1,Public/Mixed
S25B86/002,A12830,Bachelor of Science in Economics and Statistics,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
S25B86/004,A12836,Bachelor of Science in Economics and Statistics,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
S25B86/006,A12860,Bachelor of Science in Economics and Statistics,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
S25B86/008,A12865,Bachelor of Science in Economics and Statistics,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
S25B86/010,A12873,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S25B86/012,A12897,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25B86/014,A12938,Bachelor of Science in Economics and Statistics,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S25B86/016,A12947,Bachelor of Science in Economics and Statistics,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
S25B86/018,A12957,Bachelor of Science in Economics and Statistics,Namasagali College,Kamuli,Tier 1,Private/Faith-based
S25B86/020,A12971,Bachelor of Science in Economics and Statistics,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
S25B86/022,A12973,Bachelor of Science in Economics and Statistics,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
S25B86/024,A12989,Bachelor of Science in Economics and Statistics,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
S25B86/027,A13007,Bachelor of Science in Economics and Statistics,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
S25B86/030,A13020,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S25B86/032,A13026,Bachelor of Science in Economics and Statistics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J23B76/002,A13052,Bachelor of Business Administration,Busoga High School,Iganga,Tier 2,Private/Faith-based
J23B76/004,A13067,Bachelor of Business Administration,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J23B76/006,A13081,Bachelor of Business Administration,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
J23B76/009,A13088,Bachelor of Business Administration,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
J23B76/014,A13151,Bachelor of Business Administration,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
J23B76/016,A13156,Bachelor of Business Administration,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
J23B76/018,A13207,Bachelor of Business Administration,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
J23B76/020,A13241,Bachelor of Business Administration,Makerere College School,Kampala,Tier 2,Private/Faith-based
J24B76/002,A13041,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
J24B76/004,A13056,Bachelor of Business Administration,Makerere College School,Kampala,Tier 2,Private/Faith-based
J24B76/006,A13065,Bachelor of Business Administration,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
J24B76/009,A13092,Bachelor of Business Administration,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
J24B76/011,A13107,Bachelor of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J24B76/013,A13130,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
J24B76/016,A13159,Bachelor of Business Administration,Busoga High School,Iganga,Tier 2,Private/Faith-based
J24B76/018,A13162,Bachelor of Business Administration,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
J24B76/021,A13196,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J24B76/023,A13226,Bachelor of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25B76/001,A13034,Bachelor of Business Administration,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
J25B76/004,A13051,Bachelor of Business Administration,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
J25B76/006,A13062,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
J25B76/008,A13103,Bachelor of Business Administration,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
J25B76/011,A13121,Bachelor of Business Administration,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J25B76/013,A13137,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25B76/015,A13157,Bachelor of Business Administration,Nabumali High School,Mbale,Tier 1,Private/Faith-based
J25B76/017,A13170,Bachelor of Business Administration,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
J25B76/020,A13182,Bachelor of Business Administration,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed
J25B76/022,A13187,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25B76/025,A13213,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25B76/027,A13243,Bachelor of Business Administration,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
KJ23B76/010,A13095,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KJ23B76/013,A13116,Bachelor of Business Administration,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
KJ24B76/014,A13138,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
KJ25B76/003,A13040,Bachelor of Business Administration,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
KJ25B76/018,A13173,Bachelor of Business Administration,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
KM23B76/001,A13031,Bachelor of Business Administration,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KM23B76/024,A13209,Bachelor of Business Administration,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
KM24B76/001,A13046,Bachelor of Business Administration,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
KM24B76/011,A13165,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
KM24B76/015,A13180,Bachelor of Business Administration,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
KM25B76/011,A13163,Bachelor of Business Administration,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KM25B76/020,A13240,Bachelor of Business Administration,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
KS23B76/020,A13205,Bachelor of Business Administration,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed
KS24B76/002,A13037,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KS24B76/012,A13153,Bachelor of Business Administration,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
KS24B76/018,A13242,Bachelor of Business Administration,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
KS25B76/013,A13144,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M23B76/002,A13044,Bachelor of Business Administration,Gulu High School,Gulu,Tier 2,Private/Faith-based
M23B76/004,A13066,Bachelor of Business Administration,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
M23B76/006,A13074,Bachelor of Business Administration,Namasagali College,Kamuli,Tier 1,Private/Faith-based
M23B76/008,A13086,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M23B76/010,A13098,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M23B76/013,A13114,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M23B76/015,A13118,Bachelor of Business Administration,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
M23B76/017,A13143,Bachelor of Business Administration,Kasese Secondary School,Kasese,Tier 2,Public/Mixed
M23B76/019,A13149,Bachelor of Business Administration,Mubende Secondary School,Mubende,Tier 2,Public/Mixed
M23B76/021,A13197,Bachelor of Business Administration,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
M23B76/023,A13201,Bachelor of Business Administration,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M23B76/026,A13220,Bachelor of Business Administration,Rakai Secondary School,Rakai,Tier 2,Public/Mixed
M23B76/028,A13222,Bachelor of Business Administration,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
M23B76/031,A13244,Bachelor of Business Administration,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M24B76/003,A13068,Bachelor of Business Administration,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
M24B76/006,A13104,Bachelor of Business Administration,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
M24B76/008,A13119,Bachelor of Business Administration,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M24B76/010,A13136,Bachelor of Business Administration,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
M24B76/014,A13179,Bachelor of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
M24B76/017,A13188,Bachelor of Business Administration,Moroto High School,Moroto,Tier 2,Private/Faith-based
M24B76/019,A13190,Bachelor of Business Administration,Busoga High School,Iganga,Tier 2,Private/Faith-based
M24B76/021,A13195,Bachelor of Business Administration,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M24B76/023,A13214,Bachelor of Business Administration,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
M24B76/025,A13225,Bachelor of Business Administration,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
M25B76/001,A13042,Bachelor of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M25B76/003,A13050,Bachelor of Business Administration,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
M25B76/006,A13090,Bachelor of Business Administration,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
M25B76/008,A13111,Bachelor of Business Administration,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
M25B76/010,A13132,Bachelor of Business Administration,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
M25B76/013,A13185,Bachelor of Business Administration,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
M25B76/015,A13219,Bachelor of Business Administration,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M25B76/017,A13234,Bachelor of Business Administration,Gulu High School,Gulu,Tier 2,Private/Faith-based
S23B76/001,A13038,Bachelor of Business Administration,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
S23B76/003,A13048,Bachelor of Business Administration,Ntare School,Kampala,Tier 1,Public/Mixed
S23B76/005,A13076,Bachelor of Business Administration,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
S23B76/007,A13084,Bachelor of Business Administration,Ntare School,Kampala,Tier 1,Public/Mixed
S23B76/009,A13099,Bachelor of Business Administration,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
S23B76/011,A13129,Bachelor of Business Administration,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
S23B76/013,A13141,Bachelor of Business Administration,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
S23B76/015,A13148,Bachelor of Business Administration,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
S23B76/018,A13200,Bachelor of Business Administration,Seeta High School,Kampala,Tier 2,Private/Faith-based
S23B76/021,A13212,Bachelor of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B76/023,A13227,Bachelor of Business Administration,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
S24B76/003,A13053,Bachelor of Business Administration,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
S24B76/005,A13064,Bachelor of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B76/007,A13093,Bachelor of Business Administration,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
S24B76/010,A13126,Bachelor of Business Administration,Namasagali College,Kamuli,Tier 1,Private/Faith-based
S24B76/013,A13164,Bachelor of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B76/016,A13230,Bachelor of Business Administration,Lira Town College,Lira,Tier 2,Private/Faith-based
S25B76/001,A13032,Bachelor of Business Administration,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
S25B76/004,A13077,Bachelor of Business Administration,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed
S25B76/006,A13097,Bachelor of Business Administration,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
