REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,STUDENT_LIST
KJ24M74/006,A13470,Master of Business Administration,Lira Town College,Lira,Tier 2,Private/Faith-based,List15
KJ25M74/003,A13446,Master of Business Administration,Soroti Secondary School,Soroti,Tier 2,Public/Mixed,List15
KJ25M74/011,A13492,Master of Business Administration,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,List15
KM24M74/001,A13435,Master of Business Administration,King's College Budo,Kampala,Tier 1,Private/Faith-based,List15
KM24M74/006,A13462,Master of Business Administration,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List15
KM25M74/010,A13495,Master of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
KS24M74/004,A13482,Master of Business Administration,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List15
KS25M74/013,A13494,Master of Business Administration,Seeta High School,Kampala,Tier 2,Private/Faith-based,List15
M24M74/003,A13440,Master of Business Administration,Nabumali High School,Mbale,Tier 1,Private/Faith-based,List15
M24M74/007,A13465,Master of Business Administration,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List15
M24M74/009,A13468,Master of Business Administration,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
M24M74/011,A13477,Master of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List15
M24M74/013,A13484,Master of Business Administration,Muni Girls School,Arua,Tier 2,Private/Faith-based,List15
M24M74/016,A13514,Master of Business Administration,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed,List15
M25M74/002,A13441,Master of Business Administration,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,List15
M25M74/004,A13452,Master of Business Administration,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,List15
M25M74/006,A13454,Master of Business Administration,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List15
M25M74/008,A13458,Master of Business Administration,Kasese Secondary School,Kasese,Tier 2,Public/Mixed,List15
M25M74/011,A13496,Master of Business Administration,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
M25M74/013,A13498,Master of Business Administration,Nabumali High School,Mbale,Tier 1,Private/Faith-based,List15
M25M74/016,A13509,Master of Business Administration,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,List15
S24M74/002,A13464,Master of Business Administration,Muni Girls School,Arua,Tier 2,Private/Faith-based,List15
S24M74/005,A13486,Master of Business Administration,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List15
S24M74/007,A13504,Master of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
S25M74/001,A13442,Master of Business Administration,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List15
S25M74/003,A13450,Master of Business Administration,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
S25M74/005,A13466,Master of Business Administration,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
S25M74/007,A13474,Master of Business Administration,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed,List15
S25M74/009,A13481,Master of Business Administration,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed,List15
S25M74/011,A13489,Master of Business Administration,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List15
S25M74/014,A13506,Master of Business Administration,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List15
J23B80/003,A13552,Bachelor of Human Resource Management,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,List15
J23B80/005,A13568,Bachelor of Human Resource Management,Gulu High School,Gulu,Tier 2,Private/Faith-based,List15
J23B80/008,A13586,Bachelor of Human Resource Management,Kotido Secondary School,Kotido,Tier 2,Public/Mixed,List15
J23B80/010,A13596,Bachelor of Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
J23B80/012,A13606,Bachelor of Human Resource Management,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed,List15
J23B80/014,A13616,Bachelor of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
J23B80/016,A13635,Bachelor of Human Resource Management,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List15
J23B80/019,A13663,Bachelor of Human Resource Management,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List15
J23B80/021,A13700,Bachelor of Human Resource Management,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,List15
J23B80/023,A13709,Bachelor of Human Resource Management,Ntare School,Kampala,Tier 1,Public/Mixed,List15
J24B80/001,A13526,Bachelor of Human Resource Management,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,List15
J24B80/003,A13536,Bachelor of Human Resource Management,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List15
J24B80/005,A13551,Bachelor of Human Resource Management,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,List15
J24B80/007,A13563,Bachelor of Human Resource Management,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
J24B80/009,A13580,Bachelor of Human Resource Management,Gayaza High School,Kampala,Tier 1,Private/Faith-based,List15
J24B80/011,A13613,Bachelor of Human Resource Management,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List15
J24B80/013,A13621,Bachelor of Human Resource Management,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,List15
J24B80/016,A13666,Bachelor of Human Resource Management,Nabumali High School,Mbale,Tier 1,Private/Faith-based,List15
J24B80/018,A13671,Bachelor of Human Resource Management,Soroti Secondary School,Soroti,Tier 2,Public/Mixed,List15
J24B80/020,A13696,Bachelor of Human Resource Management,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List15
J25B80/002,A13533,Bachelor of Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
J25B80/008,A13584,Bachelor of Human Resource Management,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,List15
J25B80/011,A13652,Bachelor of Human Resource Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
J25B80/014,A13673,Bachelor of Human Resource Management,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,List15
J25B80/016,A13685,Bachelor of Human Resource Management,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed,List15
J25B80/019,A13701,Bachelor of Human Resource Management,Rakai Secondary School,Rakai,Tier 2,Public/Mixed,List15
J25B80/021,A13714,Bachelor of Human Resource Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
KJ23B80/006,A13578,Bachelor of Human Resource Management,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,List15
KJ24B80/014,A13647,Bachelor of Human Resource Management,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed,List15
KJ25B80/003,A13539,Bachelor of Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
KJ25B80/006,A13573,Bachelor of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
KJ25B80/009,A13591,Bachelor of Human Resource Management,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,List15
KJ25B80/018,A13694,Bachelor of Human Resource Management,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List15
KM23B80/013,A13625,Bachelor of Human Resource Management,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,List15
KM23B80/021,A13699,Bachelor of Human Resource Management,King's College Budo,Kampala,Tier 1,Private/Faith-based,List15
KM24B80/011,A13634,Bachelor of Human Resource Management,Busoga High School,Iganga,Tier 2,Private/Faith-based,List15
KM25B80/002,A13529,Bachelor of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
KM25B80/020,A13682,Bachelor of Human Resource Management,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List15
KS23B80/006,A13535,Bachelor of Human Resource Management,Lira Town College,Lira,Tier 2,Private/Faith-based,List15
KS23B80/014,A13620,Bachelor of Human Resource Management,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,List15
KS24B80/020,A13659,Bachelor of Human Resource Management,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based,List15
KS24B80/028,A13713,Bachelor of Human Resource Management,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
KS25B80/005,A13540,Bachelor of Human Resource Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
KS25B80/008,A13572,Bachelor of Human Resource Management,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List15
M23B80/001,A13517,Bachelor of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
M23B80/003,A13562,Bachelor of Human Resource Management,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,List15
M23B80/005,A13577,Bachelor of Human Resource Management,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List15
M23B80/008,A13595,Bachelor of Human Resource Management,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List15
M23B80/010,A13604,Bachelor of Human Resource Management,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,List15
M23B80/012,A13624,Bachelor of Human Resource Management,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List15
M23B80/015,A13653,Bachelor of Human Resource Management,Gulu High School,Gulu,Tier 2,Private/Faith-based,List15
M23B80/017,A13688,Bachelor of Human Resource Management,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List15
M23B80/020,A13698,Bachelor of Human Resource Management,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,List15
M23B80/023,A13711,Bachelor of Human Resource Management,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List15
M24B80/001,A13544,Bachelor of Human Resource Management,Busoga High School,Iganga,Tier 2,Private/Faith-based,List15
M24B80/003,A13559,Bachelor of Human Resource Management,Makerere College School,Kampala,Tier 2,Private/Faith-based,List15
M24B80/005,A13597,Bachelor of Human Resource Management,Namasagali College,Kamuli,Tier 1,Private/Faith-based,List15
M24B80/007,A13602,Bachelor of Human Resource Management,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List15
M24B80/010,A13629,Bachelor of Human Resource Management,King's College Budo,Kampala,Tier 1,Private/Faith-based,List15
M24B80/013,A13640,Bachelor of Human Resource Management,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based,List15
M24B80/016,A13651,Bachelor of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
M24B80/018,A13681,Bachelor of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
M24B80/020,A13684,Bachelor of Human Resource Management,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
M24B80/022,A13718,Bachelor of Human Resource Management,Ntare School,Kampala,Tier 1,Public/Mixed,List15
M24B80/024,A13728,Bachelor of Human Resource Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
M25B80/003,A13530,Bachelor of Human Resource Management,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed,List15
M25B80/005,A13547,Bachelor of Human Resource Management,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List15
M25B80/007,A13549,Bachelor of Human Resource Management,Muni Girls School,Arua,Tier 2,Private/Faith-based,List15
M25B80/009,A13567,Bachelor of Human Resource Management,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,List15
M25B80/011,A13598,Bachelor of Human Resource Management,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed,List15
M25B80/013,A13615,Bachelor of Human Resource Management,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List15
M25B80/015,A13655,Bachelor of Human Resource Management,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
M25B80/018,A13674,Bachelor of Human Resource Management,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List15
M25B80/021,A13689,Bachelor of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
M25B80/023,A13707,Bachelor of Human Resource Management,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,List15
M25B80/025,A13719,Bachelor of Human Resource Management,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
S23B80/001,A13520,Bachelor of Human Resource Management,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,List15
S23B80/003,A13524,Bachelor of Human Resource Management,Lira Town College,Lira,Tier 2,Private/Faith-based,List15
S23B80/005,A13531,Bachelor of Human Resource Management,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based,List15
S23B80/009,A13543,Bachelor of Human Resource Management,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,List15
S23B80/011,A13574,Bachelor of Human Resource Management,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List15
S23B80/013,A13617,Bachelor of Human Resource Management,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,List15
S23B80/016,A13639,Bachelor of Human Resource Management,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed,List15
S23B80/018,A13650,Bachelor of Human Resource Management,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based,List15
S23B80/020,A13677,Bachelor of Human Resource Management,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
S23B80/022,A13715,Bachelor of Human Resource Management,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,List15
S24B80/002,A13528,Bachelor of Human Resource Management,Lira Town College,Lira,Tier 2,Private/Faith-based,List15
S24B80/004,A13564,Bachelor of Human Resource Management,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
S24B80/006,A13570,Bachelor of Human Resource Management,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List15
S24B80/008,A13592,Bachelor of Human Resource Management,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,List15
S24B80/010,A13600,Bachelor of Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
S24B80/012,A13622,Bachelor of Human Resource Management,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,List15
S24B80/014,A13627,Bachelor of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
S24B80/016,A13630,Bachelor of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
S24B80/019,A13641,Bachelor of Human Resource Management,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List15
S24B80/023,A13686,Bachelor of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
S24B80/025,A13695,Bachelor of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
S24B80/027,A13706,Bachelor of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
S25B80/001,A13518,Bachelor of Human Resource Management,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed,List15
S25B80/004,A13534,Bachelor of Human Resource Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
S25B80/009,A13589,Bachelor of Human Resource Management,Busoga High School,Iganga,Tier 2,Private/Faith-based,List15
S25B80/011,A13607,Bachelor of Human Resource Management,Nabumali High School,Mbale,Tier 1,Private/Faith-based,List15
S25B80/013,A13632,Bachelor of Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
S25B80/015,A13646,Bachelor of Human Resource Management,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List15
S25B80/017,A13664,Bachelor of Human Resource Management,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,List15
S25B80/020,A13721,Bachelor of Human Resource Management,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List15
J24M79/001,A13733,Master of Human Resource Management,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,List15
J24M79/003,A13740,Master of Human Resource Management,Soroti Secondary School,Soroti,Tier 2,Public/Mixed,List15
J24M79/006,A13753,Master of Human Resource Management,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,List15
J24M79/009,A13770,Master of Human Resource Management,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
J24M79/011,A13785,Master of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
J24M79/014,A13804,Master of Human Resource Management,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed,List15
J25M79/001,A13732,Master of Human Resource Management,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,List15
J25M79/003,A13745,Master of Human Resource Management,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List15
J25M79/005,A13769,Master of Human Resource Management,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List15
J25M79/008,A13784,Master of Human Resource Management,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,List15
J25M79/010,A13800,Master of Human Resource Management,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,List15
J25M79/012,A13803,Master of Human Resource Management,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List15
KJ24M79/007,A13757,Master of Human Resource Management,Namasagali College,Kamuli,Tier 1,Private/Faith-based,List15
KJ25M79/007,A13780,Master of Human Resource Management,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,List15
KM24M79/003,A13754,Master of Human Resource Management,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
KM24M79/007,A13768,Master of Human Resource Management,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List15
KM25M79/005,A13741,Master of Human Resource Management,Soroti Secondary School,Soroti,Tier 2,Public/Mixed,List15
KM25M79/012,A13762,Master of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
KS24M79/004,A13764,Master of Human Resource Management,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List15
M24M79/001,A13735,Master of Human Resource Management,Mityana Secondary School,Mityana,Tier 2,Public/Mixed,List15
M24M79/006,A13763,Master of Human Resource Management,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,List15
M24M79/009,A13772,Master of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
M24M79/011,A13782,Master of Human Resource Management,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List15
M24M79/013,A13786,Master of Human Resource Management,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List15
M25M79/001,A13729,Master of Human Resource Management,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
M25M79/003,A13731,Master of Human Resource Management,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
M25M79/007,A13746,Master of Human Resource Management,Rakai Secondary School,Rakai,Tier 2,Public/Mixed,List15
M25M79/009,A13752,Master of Human Resource Management,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
M25M79/011,A13761,Master of Human Resource Management,Kotido Secondary School,Kotido,Tier 2,Public/Mixed,List15
M25M79/014,A13797,Master of Human Resource Management,Kotido Secondary School,Kotido,Tier 2,Public/Mixed,List15
M25M79/016,A13807,Master of Human Resource Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
S24M79/002,A13747,Master of Human Resource Management,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,List15
S25M79/001,A13737,Master of Human Resource Management,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed,List15
S25M79/003,A13751,Master of Human Resource Management,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List15
S25M79/005,A13766,Master of Human Resource Management,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List15
S25M79/007,A13774,Master of Human Resource Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
S25M79/009,A13778,Master of Human Resource Management,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed,List15
S25M79/011,A13788,Master of Human Resource Management,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,List15
S25M79/013,A13793,Master of Human Resource Management,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List15
S25M79/015,A13796,Master of Human Resource Management,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List15
J24P78/001,A13821,PGD Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
J24P78/003,A13827,PGD Human Resource Management,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,List15
J24P78/005,A13835,PGD Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
J24P78/007,A13848,PGD Human Resource Management,Seeta High School,Kampala,Tier 2,Private/Faith-based,List15
J25P78/002,A13816,PGD Human Resource Management,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed,List15
J25P78/004,A13838,PGD Human Resource Management,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed,List15
KM24P78/001,A13813,PGD Human Resource Management,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List15
KM25P78/001,A13810,PGD Human Resource Management,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
M24P78/003,A13822,PGD Human Resource Management,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,List15
M24P78/005,A13833,PGD Human Resource Management,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,List15
M24P78/007,A13842,PGD Human Resource Management,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,List15
M25P78/002,A13817,PGD Human Resource Management,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
M25P78/004,A13828,PGD Human Resource Management,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
M25P78/006,A13844,PGD Human Resource Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
S24P78/002,A13831,PGD Human Resource Management,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List15
S24P78/004,A13840,PGD Human Resource Management,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List15
S24P78/006,A13849,PGD Human Resource Management,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List15
S25P78/002,A13811,PGD Human Resource Management,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,List15
S25P78/004,A13819,PGD Human Resource Management,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List15
S25P78/007,A13832,PGD Human Resource Management,Lira Town College,Lira,Tier 2,Private/Faith-based,List15
S25P78/009,A13846,PGD Human Resource Management,Ngora High School,Soroti,Tier 2,Private/Faith-based,List15
J23B83/005,A13910,Bachelor of Procurement and Logistics Management,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,List15
J23B83/008,A13936,Bachelor of Procurement and Logistics Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List15
J23B83/011,A13951,Bachelor of Procurement and Logistics Management,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List15
J23B83/014,A13956,Bachelor of Procurement and Logistics Management,Seeta High School,Kampala,Tier 2,Private/Faith-based,List15
J23B83/017,A13986,Bachelor of Procurement and Logistics Management,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,List15
J23B83/019,A14012,Bachelor of Procurement and Logistics Management,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List15
J23B83/021,A14046,Bachelor of Procurement and Logistics Management,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
J24B83/001,A13862,Bachelor of Procurement and Logistics Management,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List15
J24B83/003,A13907,Bachelor of Procurement and Logistics Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List15
J24B83/005,A13921,Bachelor of Procurement and Logistics Management,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,List15
J24B83/007,A13937,Bachelor of Procurement and Logistics Management,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,List15
J24B83/011,A13961,Bachelor of Procurement and Logistics Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
J24B83/013,A13977,Bachelor of Procurement and Logistics Management,Makerere College School,Kampala,Tier 2,Private/Faith-based,List15
J24B83/015,A14006,Bachelor of Procurement and Logistics Management,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List15
J24B83/017,A14034,Bachelor of Procurement and Logistics Management,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based,List15
J24B83/019,A14056,Bachelor of Procurement and Logistics Management,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,List15
J25B83/001,A13854,Bachelor of Procurement and Logistics Management,Moroto High School,Moroto,Tier 2,Private/Faith-based,List15
J25B83/003,A13869,Bachelor of Procurement and Logistics Management,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,List15
J25B83/005,A13897,Bachelor of Procurement and Logistics Management,Ngora High School,Soroti,Tier 2,Private/Faith-based,List15
J25B83/007,A13915,Bachelor of Procurement and Logistics Management,Soroti Secondary School,Soroti,Tier 2,Public/Mixed,List15
J25B83/009,A13924,Bachelor of Procurement and Logistics Management,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List15
J25B83/011,A13935,Bachelor of Procurement and Logistics Management,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed,List15
J25B83/014,A13994,Bachelor of Procurement and Logistics Management,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed,List15
J25B83/017,A14037,Bachelor of Procurement and Logistics Management,Gulu High School,Gulu,Tier 2,Private/Faith-based,List15
J25B83/019,A14045,Bachelor of Procurement and Logistics Management,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List15
KJ23B83/004,A13892,Bachelor of Procurement and Logistics Management,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,List15
KJ23B83/010,A13946,Bachelor of Procurement and Logistics Management,King's College Budo,Kampala,Tier 1,Private/Faith-based,List15
KJ23B83/015,A13971,Bachelor of Procurement and Logistics Management,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List15
KJ24B83/009,A13950,Bachelor of Procurement and Logistics Management,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List15
KJ25B83/012,A13944,Bachelor of Procurement and Logistics Management,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List15
KJ25B83/020,A14050,Bachelor of Procurement and Logistics Management,Gulu High School,Gulu,Tier 2,Private/Faith-based,List15
KM23B83/007,A13913,Bachelor of Procurement and Logistics Management,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,List15
KM23B83/009,A13917,Bachelor of Procurement and Logistics Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
KM23B83/020,A14064,Bachelor of Procurement and Logistics Management,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List15
KM24B83/015,A14009,Bachelor of Procurement and Logistics Management,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,List15
KM25B83/011,A13997,Bachelor of Procurement and Logistics Management,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List15
KS23B83/004,A13886,Bachelor of Procurement and Logistics Management,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List15
KS23B83/015,A13982,Bachelor of Procurement and Logistics Management,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List15
KS24B83/010,A13898,Bachelor of Procurement and Logistics Management,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List15
KS24B83/021,A13975,Bachelor of Procurement and Logistics Management,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,List15
